"Beruf.oder.Stand","Geburtsjahr","Stadtteil","Partei"
"Fachberater Vertrieb",1981,"Eggingen","BLO"
"Industriemeister",1989,"Ermingen","BLO"
"Masseurin",1976,"Lehr","BLO"
"Dipl.-Pädagogin",1985,"Jungingen","BLO"
"Dipl.-Sozialpädagogin",1962,"Donaustetten","BLO"
"Büroleiterin",1983,"Böfingen","BLO"
"Persönlicher Referent",1969,"Söflingen","AfD"
"Steuerberater",1990,"Lehr","AfD"
"Referent im Landtag",1992,"Eselsberg","AfD"
"Abteilungsleiter",1975,"Söflingen","AfD"
"Bus- und Straßenbahnfahrer",1971,"Mitte","AfD"
"Buchhalter",1971,"Eselsberg","AfD"
"kaufm. Angestellte",1965,"Wiblingen","AfD"
"Grafikdesigner",1962,"Wiblingen","AfD"
"Maschinenbautechniker z.Zt. in Sabbatjahr",1985,"Weststadt","Tierschutzpartei"
"Betriebsratsassistentin",1989,"Weststadt","Tierschutzpartei"
"Penetrationstester",1995,"Eselsberg","Tierschutzpartei"
"Galvaniseur",1982,"Lehr","Tierschutzpartei"
"Versicherungskauffrau",1962,"Weststadt","Tierschutzpartei"
"Student",1999,"Böfingen","Tierschutzpartei"
"Doktorand",1990,"Eselsberg","Tierschutzpartei"
"Ingenieur",1987,"Söflingen","Tierschutzpartei"
"Auszubildender",1988,"Söflingen","Tierschutzpartei"
"Studentin",2002,"Böfingen","Tierschutzpartei"
"Einzelhändlerin",1977,"Söflingen","KlimalisteBW"
"Geschäftsführer",1972,"Eselsberg","KlimalisteBW"
"Studentin",1996,"Mitte","KlimalisteBW"
"Projektleiter",1967,"Jungingen","KlimalisteBW"
"Psychologin",1999,"Söflingen","KlimalisteBW"
"Biologe",1996,"Söflingen","KlimalisteBW"
"Buchhändler",1958,"Söflingen","KlimalisteBW"
"Studentin",1998,"Weststadt","KlimalisteBW"
"Assistent der Teamleitung",1997,"Eselsberg","KlimalisteBW"
"Studentin",2002,"Mitte","KlimalisteBW"
