"","Lfd...Nr.","Beruf.oder.Stand","Geburtsjahr","Stadtteil","Partei"
"321",902,"Geschäftsführer",1970,"Weststadt","UfA"
"322",903,"Architektin",1966,"Mitte","UfA"
"323",904,"Hausarzt",1950,"Eselsberg","UfA"
"324",905,"Beamtin",1964,"Weststadt","UfA"
"325",906,"Justiziar",1968,"Mitte","UfA"
"326",907,"selbst. Gastronomin",1989,"Eselsberg","UfA"
"327",908,"Dipl.-Betriebswirt (BA)",1973,"Söflingen","UfA"
"328",909,"Student",2002,"Weststadt","UfA"
"329",910,"Inklusionsassistentin",1962,"Mitte","UfA"
"330",911,"Mieter- und Objektmanager",1980,"Einsingen","UfA"
"331",912,"Rechtsanwalt",1969,"Weststadt","UfA"
"332",913,"Geschäftsführer",1970,"Mitte","UfA"
"333",914,"Dipl.-Grafikdesignerin",1980,"Weststadt","UfA"
"334",915,"kaufm. Angestellte",1967,"Oststadt","UfA"
"335",916,"Kulturschaffender",1954,"Böfingen","UfA"
"336",917,"Unternehmer",1972,"Oststadt","UfA"
"337",918,"Schülerin",2006,"Mitte","UfA"
"338",919,"Studentin",2004,"Oststadt","UfA"
"339",920,"Arzt",1957,"Lehr","UfA"
"340",921,"Produktgestalter",1968,"Weststadt","UfA"
"341",922,"Kauffrau für Büromanagement",2000,"Söflingen","UfA"
"342",923,"Lektorin",1946,"Oststadt","UfA"
"343",924,"Orchestermusiker",1990,"Söflingen","UfA"
"344",925,"Steuerfachangestellte",1966,"Eselsberg","UfA"
"345",926,"selbst. Schreinermeister",1965,"Oststadt","UfA"
"346",927,"Theaterpädagogin",1958,"Weststadt","UfA"
"347",928,"Steuerberater",1976,"Jungingen","UfA"
"348",929,"Innenstadtberater",1958,"Eselsberg","UfA"
"349",930,"Lagerist",1963,"Weststadt","UfA"
"350",931,"Gastronom",1967,"Weststadt","UfA"
"351",932,"Student",2004,"Weststadt","UfA"
"352",933,"Student",2003,"Weststadt","UfA"
"353",934,"IT-Systemkaufmann",1988,"Eselsberg","UfA"
"354",935,"Ärztin",1990,"Eselsberg","UfA"
"355",936,"Rentnerin",1959,"Weststadt","UfA"
"356",937,"Sporttrainerin",1964,"Eselsberg","UfA"
"357",938,"Gastronomiefachkraft italienisch",1962,"Weststadt","UfA"
"358",939,"kaufm. Angestellter",1967,"Eselsberg","UfA"
"359",940,"Notar i.R.",1940,"Mitte","UfA"
"360",1001,"Sozial-und Kulturmanagerin",1958,"Weststadt","DIE LINKE"
"361",1002,"Betriebsrat",1965,"Mitte","DIE LINKE"
"362",1003,"gepr. Erzieherin",1988,"Mitte","DIE LINKE"
"363",1004,"Rentner",1955,"Wiblingen","DIE LINKE"
"364",1005,"Gesundheits-und Krankheitspflegerin",1970,"Eselsberg","DIE LINKE"
"365",1006,"Notfallsanitäter",1987,"Mitte","DIE LINKE"
"366",1007,"Psychologin (B.sc.)",1990,"Söflingen","DIE LINKE"
"367",1008,"Student",1990,"Söflingen","DIE LINKE"
"368",1009,"Laborhelferin",1969,"Weststadt","DIE LINKE"
"369",1010,"Industriemeister",1954,"Eselsberg","DIE LINKE"
"370",1011,"selbst. Tagespfelegeperson",1966,"Einsingen","DIE LINKE"
"371",1012,"wiss. Mitarbeiter",1990,"Weststadt","DIE LINKE"
"372",1013,"Lagerist i.R.",1939,"Mitte","DIE LINKE"
"373",1014,"Gewerkschaftssekretär",1982,"Eselsberg","DIE LINKE"
